ingredientid,name,tags
1,Water,""
2,Ice,"cold"
3,Full Cream Milk,"milk, dairy"
4,Almond Milk,"milk, nuts, vegan, vegetarian, non-dairy, pet friendly"
5,Oat Milk,"milk, vegan, vegetarian, non-dairy, pet friendly"
6,Cashew Milk,"milk, nuts, vegan, vegetarian, non-dairy, pet friendly"
7,Soy Milk,"milk, vegan, vegetarian, non-dairy"
8,Hemp Milk,"milk, vegan, vegetarian, non-dairy"
9,Rice Milk,"milk, vegan, vegetarian, non-dairy"
10,Coconut Milk,"milk, vegan, vegetarian, non-dairy"
11,Skim Milk,"milk, dairy"
12,Raw Milk,"milk, dairy"
13,2% Milk,"milk, dairy"
14,Low-Fat Milk,"milk, dairy"
15,Goat Milk,"milk, dairy, pet friendly"
16,Organic Milk,"milk, dairy"
17,Lactose Free Milk,"milk, non-dairy"
18,Condensed Milk,"milk, dairy"
19,Evaporated Milk,"milk, dairy"
20,Buttermilk,"milk, dairy"
21,Buffalo Milk,"milk, dairy"
22,Milk,"milk, dairy"
23,Robusta Coffee Beans,"coffee, caffeine, vegan, vegetarian"
24,Liberica Coffee Beans,"coffee, caffeine, vegan, vegetarian"
25,Excelsa Coffee Beans,"coffee, caffeine, vegan, vegetarian"
26,Arabica Coffee Beans,"coffee, caffeine, vegan, vegetarian"
27,Coffee,"coffee, caffeine, vegan, vegetarian"
28,Apple Juice,"juice, vegan, vegetarian, pet friendly"
29,Orange Juice,"juice, vegan, vegetarian, pet friendly"
30,Pineapple Juice,"juice, vegan, vegetarian, pet friendly"
31,Lemon Juice,"juice, vegan, vegetarian"
32,Lime Juice,"juice, vegan, vegetarian"
33,Cranberry Juice,"juice, vegan, vegetarian, pet friendly"
34,Carrot Juice,"juice, vegan, vegetarian, pet friendly"
35,Grapefruit Juice,"juice, vegan, vegetarian"
36,Beetroot Juice,"juice, vegan, vegetarian"
37,Celery Juice,"juice, vegan, vegetarian, pet friendly"
38,Tomato Juice,"juice, vegan, vegetarian"
39,Pomegranate Juice,"juice, vegan, vegetarian"
40,Guava Juice,"juice, vegan, vegetarian"
41,Grape Juice,"juice, vegan, vegetarian"
42,Sugarcane Juice,"juice, vegan, vegetarian"
43,Vegetable Juice,"juice, vegan, vegetarian"
44,Watermelon Juice,"juice, vegan, vegetarian, pet friendly"
45,Wintermelon Juice,"juice, vegan, vegetarian"
46,Strawberry Juice,"juice, vegan, vegetarian, pet friendly"
47,Raspberry Juice,"juice, vegan, vegetarian, pet friendly"
48,Blueberry Juice,"juice, vegan, vegetarian, pet friendly"
49,Papaya Juice,"juice, vegan, vegetarian"
50,Peach Liqueur,"alcohol, liqueur, peach liqueur"
51,Honeydew Juice,"juice, vegan, vegetarian"
52,Cucumber Juice,"juice, vegan, vegetarian, pet friendly"
53,Cantaloupe Juice,"juice, vegan, vegetarian, pet friendly"
54,Blackcurrant Juice,"juice, vegan, vegetarian"
55,Acai Juice,"juice,vegan, vegetarian"
56,Apple,"fruit, vegan, vegetarian, pet friendly"
57,Apricots,"fruit, vegan, vegetarian"
58,Acerola,"fruit, vegan, vegetarian"
59,Avocado,"fruit, vegan, vegetarian"
60,Banana,"fruit, vegan, vegetarian, pet friendly"
61,Blackberries,"fruit, vegan, vegetarian, pet friendly"
62,Blackcurrant,"fruit, vegan, vegetarian"
63,Blueberries,"fruit, vegan, vegetarian, pet friendly"
64,Breadfruit,"fruit, vegan, vegetarian"
65,Cantaloupe,"fruit, vegan, vegetarian, pet friendly"
66,Starfruit,"fruit, vegan, vegetarian"
67,Cherimoya,"fruit, vegan, vegetarian"
68,Cherries,"fruit, vegan, vegetarian"
69,Clementine,"fruit, vegan, vegetarian"
70,Coconut Meat,"fruit, vegan, vegetarian"
71,Cranberries,"fruit, vegan, vegetarian, pet friendly"
72,Custard Apple,"fruit, vegan, vegetarian"
73,Date Fruit,"fruit, vegan, vegetarian"
74,Durian,"fruit, vegan, vegetarian"
75,Elderberries,"fruit, vegan, vegetarian"
76,Feijoa,"fruit, vegan, vegetarian"
77,Elderflower,"fruit, vegan, vegetarian"
78,Figs,"fruit, vegan, vegetarian"
79,Gooseberries,"fruit, vegan, vegetarian"
80,Grapefruit,"fruit, vegan, vegetarian"
81,Grapes,"fruit, vegan, vegetarian"
82,Guava,"fruit, vegan, vegetarian"
83,Honeydew Melon,"fruit, vegan, vegetarian"
84,Jackfruit,"fruit, vegan, vegetarian"
85,Java Plum,"fruit, vegan, vegetarian"
86,Jujube Fruit,"fruit, vegan, vegetarian"
87,KiwiFruit,"fruit, vegan, vegetarian"
88,Kumquat,"fruit, vegan, vegetarian"
89,Lemon,"fruit, vegan, vegetarian"
90,Lime,"fruit, vegan, vegetarian"
91,Longan,"fruit, vegan, vegetarian"
92,Loquat,"fruit, vegan, vegetarian"
93,Lychee,"fruit, vegan, vegetarian"
94,Mandarin,"fruit, vegan, vegetarian"
95,Mango,"fruit, vegan, vegetarian, pet friendly"
96,Mangosteen,"fruit, vegan, vegetarian"
97,Mulberries,"fruit, vegan, vegetarian"
98,Nectarine,"fruit, vegan, vegetarian"
99,Olives,"fruit, vegan, vegetarian"
100,Orange,"fruit, vegan, vegetarian, pet friendly"
101,Papaya,"fruit, vegan, vegetarian"
102,Passion Fruit,"fruit, vegan, vegetarian"
103,White Peach,"fruit, vegan, vegetarian, pet friendly"
104,Yellow Peach,"fruit, vegan, vegetarian, pet friendly"
105,Pear,"fruit, vegan, vegetarian, pet friendly"
106,Nashi Pear,"fruit, vegan, vegetarian, pet friendly"
107,Persimmon,"fruit, vegan, vegetarian"
108,Dragonfruit,"fruit, vegan, vegetarian"
109,Pineapple,"fruit, vegan, vegetarian, pet friendly"
110,Pitanga,"fruit, vegan, vegetarian"
111,Plantain,"fruit, vegan, vegetarian"
112,Plum,"fruit, vegan, vegetarian"
113,Pomegranate,"fruit, vegan, vegetarian"
114,Prickly Pear,"fruit, vegan, vegetarian"
115,Prunes,"fruit, vegan, vegetarian"
116,Pomelo,"fruit, vegan, vegetarian"
117,Quince,"fruit, vegan, vegetarian"
118,Raspberries,"fruit, vegan, vegetarian, pet friendly"
119,Rhubarb,"fruit, vegan, vegetarian"
120,Rose Apple,"fruit, vegan, vegetarian"
121,Sapodilla,"fruit, vegan, vegetarian"
122,Sapote,"fruit, vegan, vegetarian"
123,Soursop,"fruit, vegan, vegetarian"
124,Strawberry,"fruit, vegan, vegetarian, pet friendly"
125,Sugar Apple,"fruit, vegan, vegetarian"
126,Tamarind,"fruit, vegan, vegetarian"
127,Tangerine,"fruit, vegan, vegetarian"
128,Watermelon,"fruit, vegan, vegetarian, pet friendly"
129,Sunrise Lime,"fruit, vegan, vegetarian"
130,Winter Melon,"fruit, vegan, vegetarian"
131,Kaffir Lime,"fruit, vegan, vegetarian"
132,Angelica,"herb, spice, vegan, vegetarian"
133,Anise,"herb, spice, vegan, vegetarian"
134,Asafoetida,"herb, spice, vegan, vegetarian"
135,Bay Leaf,"herb, spice, vegan, vegetarian"
136,Basil,"herb, spice, vegan, vegetarian"
137,Bergamot,"herb, spice, vegan, vegetarian"
138,Black Cumin,"herb, spice, vegan, vegetarian"
139,Black Mustard,"herb, spice, vegan, vegetarian"
140,Black Pepper,"herb, spice, vegan, vegetarian"
141,Borage,"herb, spice, vegan, vegetarian"
142,Brown Mustard,"herb, spice, vegan, vegetarian"
143,Burnet,"herb, spice, vegan, vegetarian"
144,Caraway,"herb, spice, vegan, vegetarian"
145,Cardamom,"herb, spice, vegan, vegetarian"
146,Cassia,"herb, spice, vegan, vegetarian"
147,Catnip,"herb, spice, vegan, vegetarian, pet friendly"
148,Cayenne Pepper,"herb, spice, vegan, vegetarian"
149,Celery Seed,"herb, spice, vegan, vegetarian"
150,Chervil,"herb, spice, vegan, vegetarian"
151,Chicory,"herb, spice, vegan, vegetarian"
152,Chili Pepper,"herb, spice, vegan, vegetarian"
153,Chives,"herb, spice, vegan, vegetarian"
154,Cicely,"herb, spice, vegan, vegetarian"
155,Cilantro,"herb, spice, vegan, vegetarian"
156,Cinnamon,"herb, spice, vegan, vegetarian"
157,Clove,"herb, spice, vegan, vegetarian"
158,Coriander,"herb, spice, vegan, vegetarian"
159,Costmary,"herb, spice, vegan, vegetarian"
160,Cumin,"herb, spice, vegan, vegetarian"
161,Dill,"herb, spice, vegan, vegetarian"
162,Fennel,"herb, spice, vegan, vegetarian"
163,Fenugreek,"herb, spice, vegan, vegetarian"
164,Filé,"herb, spice, vegan, vegetarian"
165,Ginger,"herb, spice, vegan, vegetarian"
166,Holy Basil,"herb, spice, vegan, vegetarian"
167,Horehound,"herb, spice, vegan, vegetarian"
168,Horseradish,"herb, spice, vegan, vegetarian"
169,Hyssop,"herb, spice, vegan, vegetarian"
170,Lavender,"herb, spice, vegan, vegetarian"
171,Lemon Balm,"herb, spice, vegan, vegetarian"
172,Lemon Grass,"herb, spice, vegan, vegetarian"
173,Lemon Verbena,"herb, spice, vegan, vegetarian"
174,Licorice,"herb, spice, vegan, vegetarian"
175,Lovage,"herb, spice, vegan, vegetarian"
176,Mace,"herb, spice, vegan, vegetarian"
177,Marjoram,"herb, spice, vegan, vegetarian"
178,Nutmeg,"herb, spice, vegan, vegetarian"
179,Oregano,"herb, spice, vegan, vegetarian"
180,Paprika,"herb, spice, vegan, vegetarian"
181,Parsley,"herb, spice, vegan, vegetarian"
182,Peppermint,"herb, spice, vegan, vegetarian"
183,Poppy Seed,"herb, spice, vegan, vegetarian"
184,Rosemary,"herb, spice, vegan, vegetarian"
185,Rue,"herb, spice, vegan, vegetarian"
186,Saffron,"herb, spice, vegan, vegetarian"
187,Sesame,"herb, spice, vegan, vegetarian"
188,Sorrel,"herb, spice, vegan, vegetarian"
189,Star Anise,"herb, spice, vegan, vegetarian"
190,Spearmint,"herb, spice, vegan, vegetarian"
191,Tarragon,"herb, spice, vegan, vegetarian"
192,Thyme,"herb, spice, vegan, vegetarian"
193,Tumeric,"herb, spice, vegan, vegetarian"
194,Vanilla,"herb, spice, vegan, vegetarian"
195,Wasabi,"herb, spice, vegan, vegetarian"
196,White Mustard,"herb, spice, vegan, vegetarian"
197,Amaranth Leaves,"vegetable, vegan, vegetarian"
198,Arrowroot,"vegetable, vegan, vegetarian"
199,Artichoke,"vegetable, vegan, vegetarian"
200,Arugula,"vegetable, vegan, vegetarian"
201,Asparagus,"vegetable, vegan, vegetarian"
202,Bamboo Shoots,"vegetable, vegan, vegetarian"
203,Green Beans,"vegetable, vegan, vegetarian, pet friendly"
204,Beetroot,"vegetable, vegan, vegetarian, pet friendly"
205,Bitter Melon,"vegetable, vegan, vegetarian"
206,Bok Choy ,"vegetable, vegan, vegetarian"
207,Fava Beans,"vegetable, vegan, vegetarian"
208,Broccoli,"vegetable, vegan, vegetarian, pet friendly"
209,Broccoli Rabe,"vegetable, vegan, vegetarian"
210,Brussel Sprouts,"vegetable, vegan, vegetarian"
211,Green Cabbage,"vegetable, vegan, vegetarian"
212,Red Cabbage,"vegetable, vegan, vegetarian"
213,Carrot,"vegetable, vegan, vegetarian, pet friendly"
214,Cassava,"vegetable, vegan, vegetarian"
215,Cauliflower,"vegetable, vegan, vegetarian"
216,Celery Root,"vegetable, vegan, vegetarian"
217,Celery,"vegetable, vegan, vegetarian, pet friendly"
218,Chayote,"vegetable, vegan, vegetarian"
220,Collards,"vegetable, vegan, vegetarian"
221,Corn,"vegetable, vegan, vegetarian"
222,Crookneck,"vegetable, vegan, vegetarian"
223,Cucumber,"vegetable, vegan, vegetarian, pet friendly"
224,Daikon,"vegetable, vegan, vegetarian"
225,Dandelion Greens,"vegetable, vegan, vegetarian"
226,Edamame,"vegetable, vegan, vegetarian"
