recipeid,name,description,method,imageurl,creator
1,Iced Water,"A cold refreshing beverage that is easy to make in the home with very little ingredients. ",Put Ice into a glass of your choice | Pour water into the glass with ice | Enjoy your cold beverage,https://www.pngall.com/wp-content/uploads/5/Ice-Water-Glass-PNG-Clipart.png,
2,Homemade Lemonade,The perfect summer drink using freshly sqeezed lemons with some carbonation for extra refreshment. Super easy to make and a loved recipe by all.,Squeeze the juice out of the lemons into a glass | Add in your sugar and stir with the lemon juice | Fill the rest of the glass with soda water and ice,https://www.dreamstime.com/homemade-lemonade-mint-ice-glass-jug-glass-isolated-homemade-lemonade-mint-ice-glass-jug-image120508931,
3,Screwdriver,An easy drink to have after a long day at work or for large parties.,Put Ice into glass of choice | Pour in your vodka of choice | Fill the rest of the glass with Orange Juice,https://www.clipartmax.com/max/m2H7K9m2N4G6G6d3/,
4,Espresso,A dark bitter drink full of caffeine and perfect to help give you a boost of energy in the mornings. It is a very thick concentrate with a Crema(creamy foam) on top.,"Grind coffee beans | Place ground beans into a coffee wand| Place the wand into the coffee machine and let it run with a cup underneath | Once complete, enjoy your cup of espresso",https://www.pngwing.com/en/free-png-zaohy,
5,Cappucino,A milky cup of coffee with a nice thick layer of foam with chocolate powder to top. Easy drinking for that morning burst of energy,"Make a cup of espresso in a coffee mug | Steam your milk of choice in a milk jug until a silky layer of foam forms on the top | Pour the steamed milk into the espresso, gently swirling the jug to incorporate the coffee and milk. Ensure that there is a nice layer of foam on the top. | Coat with a dusting of chocolate powder and enjoy",,
6,Ristretto,"Ristretto stands for short in Italian, it takes the same amount of coffee grounds as in espresso, and only half of the water volume. Making the end result, even more, concentrated coffee than espresso. In plain words, Ristretto is a shorter or restricted version of espresso with a slightly sweeter taste and less bitterness.","Grind coffee beans | Place ground beans into a coffee wand| Place the wand into the coffee machine and let it run on Ristretto setting with a cup underneath | Once complete, enjoy your cup of espresso",,
7,Doppio,"In Italian doppio stand for double! And therefore, Doppio is a double shot of espresso or basically two shots of espresso in one cup. Doppio is brewed the same way as espresso by pouring hot water through a portafilter with a double spout into one cup.","Grind coffee beans | Place ground beans into a coffee wand| Place the wand into the coffee machine and let it run on Double Espresso setting with a cup underneath | Once complete, enjoy your cup of espresso",,
8,Americano,"If you want stronger Americano coffee then go for Long Black Coffee. It’s very similar to Americano, except, it uses two shots of espresso and just a bit less hot water to enhance the taste.",Make one shot of espresso | Add hot water to the cup and enjoy,,
9,Long Black,"If you want stronger Americano coffee then go for Long Black Coffee. It’s very similar to Americano, except, it uses two shots of espresso and just a bit less hot water to enhance the taste.",Make two shots of espresso into a cup | Add hot water and enjoy,,
10,Drip Coffee,"Drip coffee, also known as Filter coffee, this is a brewing method that involves using a filter, and it is the most common method that is used in people’s homes. In order to make the coffee, grounds are placed within a filter, and then heated water is processed through the filter. This causes the water to absorb the flavor of the grounds as it drips through to the carafe at the bottom.","Add coffee grounds into a filter, with a coffee filter. | Slowly pour hot water on top of the grounds in a spiral pattern starting from the outside and going in | Once the water has passed through the coffee and filter, serve and enjoy",,
