tagid,name
1,non-alcoholic
2,cold
3,milk
4,dairy
5,nuts
6,vegan
7,vegetarian
8,non-dairy
9,pet friendly
10,coffee
11,caffeine
12,juice
13,alcohol
14,liqueur
15,peach liqueur
16,fruit
17,herb
18,spice
19,vegetable
20,tea
21,black tea
22,green tea
23,oolong tea
24,white tea
25,herbal tea
26,gin
27,vodka
28,rum
29,tequila
30,cognac
31,whisky
32,scotch
33,whiskey
34,japanese
35,australian
36,coffee liqueur
37,caffein
38,eggs
39,cream liqueur
40,chocolate liqueur
41,banana liqueur
42,blackcurrant liqueur
43,sour cherry liqueur
44,peppermint liqueur
45,almond liqueur
46,apricot kernel liqueur
47,violet liqueur
48,fruit liqueur
49,flower citrus liqueur
50,elderflower liqueur
51,orange liqueur
52,cherry liqueur
53,orange herbal liqueur
54,pear liqueur
55,strawberry liqueur
56,melon liqueur
57,lychee liqueur
58,apple liqueur
59,apricot liqueur
60,chartreuse
61,cinnamon whiskey
62,cinnamon
63,sugar
64,syrup
65,cream
66,custard
67,cheese
68,soda
69,fizzy
70,tonic
71,energy
72,wine
73,white wine
74,red wine
75,sparkling wine
76,port
77,sherry
78,tawny
79,dessert
80,chocolate
81,powder
82,topping
83,vermouth
84,dry vermouth
85,sweet vermouth
86,olives
87,brine
88,bitters
89,rye
90,egg
91,protein
92,puree
93,raspberry
94,passionfruit
95,peach
96,strawberry
97,blackberry
98,blackberry liqueur
99,passionfruit liqueur
100,aperol
101,aperitif
